frame_count,sample_time,gps_datetime,latitude,longitude,rel_alt,drone_roll,drone_pitch,drone_yaw,gimbal_pitch,gimbal_yaw
102,3.47013333333333,2026:04:27 12:27:38.470Z,32.1024832733674,35.2096897821048,49.8,-6.8,-2.1,-46.0,-45.3,-37.8
103,3.5035,2026:04:27 12:27:38.503Z,32.1024832733674,35.2096897821048,49.8,-6.8,-2.1,-46.0,-45.3,-31.9
104,3.53686666666667,2026:04:27 12:27:38.537Z,32.1024831743387,35.2096899656756,49.8,-6.6,-2.9,-39.9,-45.3,-31.9
105,3.57023333333333,2026:04:27 12:27:38.570Z,32.1024831743387,35.2096899656756,49.8,-6.6,-2.9,-39.9,-45.3,-31.9
106,3.6036,2026:04:27 12:27:38.604Z,32.1024831743387,35.2096899656756,49.8,-6.6,-2.9,-39.9,-45.3,-26.5
107,3.63696666666667,2026:04:27 12:27:38.637Z,32.1024830954105,35.2096900474767,49.8,-6.6,-3.4,-34.2,-45.3,-26.5
108,3.67033333333333,2026:04:27 12:27:38.670Z,32.1024830954105,35.2096900474767,49.8,-6.6,-3.4,-34.2,-45.3,-26.5
109,3.7037,2026:04:27 12:27:38.704Z,32.1024830954105,35.2096900474767,49.8,-6.6,-3.4,-34.2,-45.3,-24.3
110,3.73706666666667,2026:04:27 12:27:38.737Z,32.1024830023108,35.2096901546424,49.8,-7.1,-3.5,-31.8,-45.3,-24.3
111,3.77043333333333,2026:04:27 12:27:38.770Z,32.1024830023108,35.2096901546424,49.8,-7.1,-3.5,-31.8,-45.3,-24.3
112,3.8038,2026:04:27 12:27:38.804Z,32.1024830023108,35.2096901546424,49.8,-7.1,-3.5,-31.8,-45.3,-24.0
113,3.83716666666667,2026:04:27 12:27:38.837Z,32.1024827906646,35.2096902081659,49.8,-7.4,-3.3,-32.0,-45.3,-24.0
114,3.87053333333333,2026:04:27 12:27:38.871Z,32.1024827906646,35.2096902081659,49.8,-7.4,-3.3,-32.0,-45.3,-24.0
